24	;47.0023	;75.9396	;0.990623	;4.89169	;2.51727e+19
25	;47.0023	;75.9396	;0.990623	;4.89169	;2.51727e+19
26	;47.0023	;75.9396	;0.990623	;4.89169	;2.51727e+19
27	;47.0018	;75.9396	;0.990623	;4.89257	;2.51718e+19
28	;47.0018	;75.9396	;0.990623	;4.89257	;2.51718e+19
29	;47.0018	;75.1903	;0.990623	;4.89257	;2.49368e+19
30	;47.0018	;75.1903	;0.990623	;4.89257	;2.49368e+19
31	;47.0018	;75.1903	;0.990623	;4.89257	;2.49368e+19
32	;47.0018	;75.1903	;0.990623	;4.89257	;2.49368e+19
33	;47.0181	;75.0467	;0.990622	;4.89259	;2.49021e+19
34	;47.0181	;75.0467	;0.990622	;4.89259	;2.49021e+19
35	;47.0181	;75.0467	;0.990622	;4.89259	;2.49021e+19
36	;47.0181	;75.0467	;0.990622	;4.89259	;2.49021e+19
37	;47.0181	;75.0467	;0.990622	;4.89259	;2.49021e+19
38	;47.0211	;75.0466	;0.990769	;4.90891	;2.49011e+19
39	;47.0211	;75.0466	;0.990769	;4.90891	;2.49011e+19
40	;47.0236	;75.0456	;0.990723	;4.91296	;2.48975e+19
41	;47.024	;75.0069	;0.990739	;4.92146	;2.48812e+19
42	;47.024	;75.0069	;0.990739	;4.92146	;2.48812e+19
43	;47.0233	;75.0007	;0.990741	;4.92287	;2.48779e+19
44	;47.0227	;75.0017	;0.99074	;4.92303	;2.48778e+19
45	;47.022	;75.0023	;0.99074	;4.92359	;2.48772e+19
46	;47.0216	;75.002	;0.99074	;4.92359	;2.48768e+19
47	;47.0176	;75.002	;0.99074	;4.92377	;2.48742e+19
48	;47.0171	;75.0009	;0.99074	;4.92378	;2.48735e+19
49	;47.0142	;75.0004	;0.99074	;4.92378	;2.48716e+19
50	;47.0142	;75.0004	;0.99074	;4.92378	;2.48716e+19
51	;47.0142	;75.0004	;0.99074	;4.92378	;2.48716e+19
52	;47.0142	;75.0004	;0.99074	;4.92378	;2.48716e+19
53	;47.0142	;75.0004	;0.99074	;4.92378	;2.48716e+19
54	;47.0118	;75.0004	;0.99074	;4.92378	;2.48701e+19
55	;47.0106	;75.0004	;0.99074	;4.92378	;2.48693e+19
56	;47.0101	;75.0004	;0.99074	;4.92378	;2.4869e+19
57	;47.0099	;75.0004	;0.99074	;4.92378	;2.48689e+19
58	;47.0091	;75.0004	;0.990376	;4.92374	;2.48501e+19
59	;47.0095	;75.0004	;0.990136	;4.92376	;2.48383e+19
60	;47.0092	;75.0004	;0.990068	;4.92376	;2.48348e+19
61	;47.0092	;75.0004	;0.990002	;4.92376	;2.48314e+19
62	;47.0092	;75.0004	;0.990002	;4.92376	;2.48314e+19
63	;47.0092	;75.0004	;0.990002	;4.92376	;2.48314e+19
64	;47.0092	;75.0004	;0.990002	;4.92376	;2.48314e+19
65	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
66	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
67	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
68	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
69	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
70	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
71	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
72	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
73	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
74	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
75	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
76	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
77	;47.0092	;75.0004	;0.990001	;4.92376	;2.48314e+19
78	;47.0092	;75.0004	;0.990001	;4.98806	;2.47913e+19
79	;47.0092	;75.0004	;0.990001	;4.99017	;2.47899e+19
80	;47.0092	;75.0004	;0.990001	;4.99017	;2.47899e+19
81	;47.0092	;75.0004	;0.990001	;4.99082	;2.47895e+19
82	;47.0092	;75.0004	;0.990001	;4.99082	;2.47895e+19
83	;47.0092	;75.0004	;0.990001	;4.99082	;2.47895e+19
84	;47.002	;75.0004	;0.990001	;4.9909	;2.4785e+19
85	;47.001	;75.0004	;0.990001	;4.99086	;2.47844e+19
86	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
87	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
88	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
89	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
90	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
91	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
92	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
93	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
94	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
95	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
96	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
97	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
98	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
99	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
100	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
101	;47.0002	;75.0004	;0.990001	;4.99089	;2.47839e+19
102	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
103	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
104	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
105	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
106	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
107	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
108	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
109	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
110	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
111	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
112	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
113	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
114	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
115	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
116	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
117	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
118	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
119	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
120	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
121	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
122	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
