21	;0.999652	;6.72481e-05	;0.312814
22	;0.999652	;6.72481e-05	;0.312814
23	;0.999652	;6.72481e-05	;0.312814
24	;0.999652	;6.72481e-05	;0.312814
25	;0.999955	;-2.69962e-05	;0.312558
26	;0.999955	;-2.69962e-05	;0.312558
27	;0.999955	;-2.69962e-05	;0.312558
28	;0.999955	;-2.69962e-05	;0.312558
29	;0.999955	;-2.69962e-05	;0.312558
30	;0.999955	;-2.69962e-05	;0.312558
31	;0.999955	;-2.69962e-05	;0.312558
32	;0.999955	;-2.69962e-05	;0.312558
33	;0.999955	;-2.69962e-05	;0.312558
34	;0.999955	;-2.69962e-05	;0.312558
35	;0.999955	;-2.69962e-05	;0.312558
36	;0.999955	;-2.69962e-05	;0.312558
37	;0.999951	;4.17567e-05	;0.312528
38	;0.999951	;4.17567e-05	;0.312528
39	;0.999951	;4.17567e-05	;0.312528
40	;0.999951	;4.17567e-05	;0.312528
41	;0.999951	;4.17567e-05	;0.312528
42	;0.999951	;4.17567e-05	;0.312528
43	;0.999951	;4.17567e-05	;0.312528
44	;0.999951	;4.17567e-05	;0.312528
45	;0.999951	;4.17567e-05	;0.312528
46	;0.999951	;4.17567e-05	;0.312528
47	;0.999951	;4.17567e-05	;0.312528
48	;0.999951	;4.17567e-05	;0.312528
49	;0.999951	;4.17567e-05	;0.312528
50	;0.999951	;4.17567e-05	;0.312528
51	;0.999951	;4.17567e-05	;0.312528
52	;0.999951	;4.17567e-05	;0.312528
53	;0.999951	;4.17567e-05	;0.312528
54	;0.999951	;4.17567e-05	;0.312528
55	;0.999951	;4.17567e-05	;0.312528
56	;0.999951	;4.17567e-05	;0.312528
57	;0.999951	;4.17567e-05	;0.312528
58	;0.999951	;4.17567e-05	;0.312528
59	;0.999951	;4.17567e-05	;0.312528
60	;0.999951	;4.17567e-05	;0.312528
61	;0.999951	;4.17567e-05	;0.312528
62	;0.999951	;4.17567e-05	;0.312528
63	;0.999951	;4.17567e-05	;0.312528
64	;0.999951	;4.17567e-05	;0.312528
65	;0.999951	;4.17567e-05	;0.312528
66	;0.999951	;4.17567e-05	;0.312528
67	;0.999951	;4.17567e-05	;0.312528
68	;0.999951	;4.17567e-05	;0.312528
69	;0.999951	;4.17567e-05	;0.312528
70	;0.999951	;4.17567e-05	;0.312528
71	;0.999951	;4.17567e-05	;0.312528
72	;0.999951	;4.17567e-05	;0.312528
73	;0.999951	;4.17567e-05	;0.312528
74	;0.999951	;4.17567e-05	;0.312528
75	;0.999951	;4.17567e-05	;0.312528
76	;0.999951	;4.17567e-05	;0.312528
77	;0.999951	;4.17567e-05	;0.312528
78	;0.999951	;4.17567e-05	;0.312528
79	;0.999951	;4.17567e-05	;0.312528
80	;0.999951	;4.17567e-05	;0.312528
81	;0.999951	;4.17567e-05	;0.312528
82	;0.999951	;4.17567e-05	;0.312528
83	;0.999951	;4.17567e-05	;0.312528
84	;0.999951	;4.17567e-05	;0.312528
85	;0.999951	;4.40404e-05	;0.312527
86	;0.999951	;4.40404e-05	;0.312527
87	;0.999981	;6.2588e-06	;0.312516
88	;0.999981	;6.2588e-06	;0.312516
89	;0.999981	;6.2588e-06	;0.312516
90	;0.999981	;6.2588e-06	;0.312516
91	;0.999981	;6.2588e-06	;0.312516
92	;0.999981	;6.2588e-06	;0.312516
93	;0.999981	;6.2588e-06	;0.312516
94	;0.999981	;6.2588e-06	;0.312516
95	;0.999981	;6.2588e-06	;0.312516
96	;0.999981	;6.2588e-06	;0.312516
97	;0.999981	;6.2588e-06	;0.312516
98	;0.999981	;6.2588e-06	;0.312516
99	;0.999981	;6.2588e-06	;0.312516
100	;0.999981	;6.2588e-06	;0.312516
101	;0.999981	;6.2588e-06	;0.312516
102	;0.999981	;6.2588e-06	;0.312516
103	;0.999981	;6.2588e-06	;0.312516
104	;0.999981	;6.2588e-06	;0.312516
105	;0.999981	;6.2588e-06	;0.312516
106	;0.999981	;6.2588e-06	;0.312516
107	;0.999981	;6.2588e-06	;0.312516
108	;0.999981	;6.2588e-06	;0.312516
109	;0.999981	;6.2588e-06	;0.312516
110	;0.999981	;6.2588e-06	;0.312516
111	;0.999981	;6.2588e-06	;0.312516
112	;0.999981	;6.2588e-06	;0.312516
113	;0.999981	;6.2588e-06	;0.312516
114	;0.999981	;6.2588e-06	;0.312516
115	;0.999981	;6.2588e-06	;0.312516
116	;0.999981	;6.2588e-06	;0.312516
117	;0.999981	;6.2588e-06	;0.312516
118	;0.999981	;6.2588e-06	;0.312516
119	;0.999981	;6.2588e-06	;0.312516
120	;0.999981	;6.2588e-06	;0.312516
121	;0.999981	;6.2588e-06	;0.312516
122	;0.999981	;6.2588e-06	;0.312516
123	;0.999981	;1.59736e-05	;0.312511
124	;0.999981	;1.59736e-05	;0.312511
125	;0.999981	;1.59736e-05	;0.312511
126	;0.999981	;1.59736e-05	;0.312511
127	;0.999981	;1.59736e-05	;0.312511
128	;0.999981	;1.59736e-05	;0.312511
